GENESIS-Tabelle: 13211-0002
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen,;;;;;;;;
Kurzarbeiter, Kurzarbeitende Betriebe: Deutschland/;;;;;;;;
Früheres Bundesgebiet/Neue Länder, Monate;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
;;;Anzahl;Prozent;Prozent;Anzahl;Anzahl;Anzahl
Insgesamt;2015;Januar;3031604;7,0;7,8;485172;326560;40436
Insgesamt;2015;Februar;3017003;6,9;7,8;518890;351530;43925
Insgesamt;2015;März;2931505;6,8;7,6;542049;251213;33424
Insgesamt;2015;April;2842844;6,5;7,3;551595;66744;4866
Insgesamt;2015;Mai;2761696;6,3;7,0;556784;57367;4359
Insgesamt;2015;Juni;2711187;6,2;6,9;572200;58710;4281
Insgesamt;2015;Juli;2772642;6,3;7,0;588677;48825;3819
Insgesamt;2015;August;2795597;6,4;7,1;596542;39833;3240
Insgesamt;2015;September;2708043;6,2;6,9;599573;51484;3492
Insgesamt;2015;Oktober;2649277;6,0;6,7;612236;60536;3714
Insgesamt;2015;November;2633157;6,0;6,7;610285;65634;4141
Insgesamt;2015;Dezember;2681415;6,1;6,8;590913;177060;22242
Insgesamt;2016;Januar;2920421;6,7;7,4;580844;342648;43720
Insgesamt;2016;Februar;2911165;6,6;7,4;613885;342967;43056
Insgesamt;2016;März;2844891;6,5;7,2;634516;251670;34011
Insgesamt;2016;April;2743864;6,3;7,0;640131;66726;4404
Insgesamt;2016;Mai;2664014;6,0;6,7;654788;56664;3908
Insgesamt;2016;Juni;2614217;5,9;6,6;664872;53933;3861
Insgesamt;2016;Juli;2661042;6,0;6,7;673889;42549;3270
Insgesamt;2016;August;2684289;6,1;6,7;685238;49723;3023
Insgesamt;2016;September;2607607;5,9;6,6;686797;46407;3128
Insgesamt;2016;Oktober;2539939;5,8;6,4;691372;50354;3125
Insgesamt;2016;November;2531975;5,7;6,4;681113;51865;3437
Insgesamt;2016;Dezember;2568273;5,8;6,5;658435;178230;25432
Insgesamt;2017;Januar;2777387;6,3;7,0;646991;370405;47274
Insgesamt;2017;Februar;2762095;6,3;6,9;674661;335227;42107
Insgesamt;2017;März;2662111;6,0;6,7;691924;216101;30117
Insgesamt;2017;April;2568612;5,8;6,5;705949;39227;2867
Insgesamt;2017;Mai;2497718;5,6;6,2;714398;36262;2733
Insgesamt;2017;Juni;2472642;5,5;6,1;730802;33304;2533
Insgesamt;2017;Juli;2517645;5,6;6,3;750346;29550;2318
Insgesamt;2017;August;2544845;5,7;6,3;765280;28057;2078
Insgesamt;2017;September;2448910;5,5;6,1;773105;27662;2115
Insgesamt;2017;Oktober;2388711;5,4;5,9;779712;26843;2072
Insgesamt;2017;November;2368411;5,3;5,9;772205;26391;2214
Insgesamt;2017;Dezember;2384961;5,3;5,9;761237;193600;29171
Insgesamt;2018;Januar;2570311;5,8;6,4;736231;287452;38920
Insgesamt;2018;Februar;2545936;5,7;6,3;764247;359311;47205
Insgesamt;2018;März;2458110;5,5;6,1;778158;327177;42685
Insgesamt;2018;April;2383752;5,3;5,9;784206;23236;1913
Insgesamt;2018;Mai;2315487;5,1;5,7;792637;20880;1721
Insgesamt;2018;Juni;2275787;5,0;5,6;805213;25225;1782
Insgesamt;2018;Juli;2324746;5,1;5,7;822582;22355;1684
Insgesamt;2018;August;2350876;5,2;5,8;827758;41019;1664
Insgesamt;2018;September;2256473;5,0;5,5;833835;42340;1705
Insgesamt;2018;Oktober;2203851;4,9;5,4;823900;45654;1772
Insgesamt;2018;November;2186109;4,8;5,4;807032;51270;1972
Insgesamt;2018;Dezember;2209546;4,9;5,4;781326;165992;23590
Insgesamt;2019;Januar;2405586;5,3;5,9;757714;354379;45002
Insgesamt;2019;Februar;2372700;5,3;5,8;783963;309540;39994
Insgesamt;2019;März;2301121;5,1;5,6;797455;245796;33510
Insgesamt;2019;April;2228876;4,9;5,5;795551;48739;2388
Insgesamt;2019;Mai;2235969;4,9;5,4;791694;53313;2488
Insgesamt;2019;Juni;2216243;4,9;5,4;797622;50988;2453
Insgesamt;2019;Juli;2275461;5,0;5,5;799076;55498;2559
Insgesamt;2019;August;2319408;5,1;5,6;794919;59678;2608
Insgesamt;2019;September;2234030;4,9;5,4;787273;83529;3254
Insgesamt;2019;Oktober;2204090;4,8;5,3;764004;110513;3989
Insgesamt;2019;November;2179999;4,8;5,3;736322;123988;4770
Insgesamt;2019;Dezember;2227159;4,9;5,4;686551;247350;26857
Insgesamt;2020;Januar;2425523;5,3;5,9;668063;382423;39414
Insgesamt;2020;Februar;2395604;5,3;5,8;689594;439353;44672
Insgesamt;2020;März;2335367;5,1;5,7;691137;2834310;380015
Insgesamt;2020;April;2643744;5,8;6,4;626417;6006765;610160
Insgesamt;2020;Mai;2812986;6,1;6,7;583624;5726323;536789
Insgesamt;2020;Juni;2853307;6,2;6,8;570346;4464299;413033
Insgesamt;2020;Juli;2910008;6,3;7,0;573159;3318830;328038
Insgesamt;2020;August;2955487;6,4;7,1;584221;2550769;279853
Insgesamt;2020;September;2847148;6,2;6,8;590727;2244063;250694
Insgesamt;2020;Oktober;2759780;6,0;6,6;602316;2037069;237269
Insgesamt;2020;November;2699133;5,9;6,5;600504;2405048;312894
