GENESIS-Tabelle: 13211-0009
Arbeitslose: Bundesländer, Jahre, Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2013;233956;122640;111316;264532;141038;123494;210093;118024;92069;132329;73199;59130;37198;20403;16795;71560;39540;32019;185612;99137;86475;98952;55689;43263;269207;143685;125522;762784;412902;349882;116360;62318;54042;37383;20268;17116;200628;109682;90946;132134;71391;60743;101751;55807;45944;95858;51381;44478
2014;230372;120526;109846;264603;141389;123215;202927;113776;89151;124628;68566;56062;37091;20363;16727;73663;40366;33297;184378;98132;86245;93067;52131;40936;267624;143007;124617;763213;412016;351198;115741;61998;53744;36911;19884;17027;187494;101762;85732;125559;67537;58023;100957;55377;45580;90160;48245;41915
2015;227098;120107;106992;256527;138845;117681;194812;109090;85722;114873;63106;51766;37355;20666;16689;73291;40364;32927;177944;94780;83164;86095;48181;37914;256434;138234;118200;744228;403829;340398;112882;60737;52144;36895;20260;16635;174319;94799;79519;118852;64037;54815;97850;54259;43591;85212;45916;39296
2016;226421;122670;103750;250623;138617;112005;181018;101541;79477;105555;58983;46572;36393;20244;16149;70666;39112;31554;172826;93033;79794;80389;45597;34792;252574;138936;113638;725653;398762;326890;111436;60978;50458;37103;20902;16201;157862;87568;70297;110263;60401;49862;94977;53069;41908;77215;42308;34907
2017;212837;115764;97072;231353;127143;104209;168991;95326;73665;92648;52018;40630;35687;19880;15807;69248;38390;30858;166287;90225;76061;70982;40382;30600;244260;134198;110061;701219;385707;315511;106299;58132;48166;34672;19531;15142;140348;78430;61917;96960;53320;43640;92434;51717;40716;68614;37947;30667
2018;195128;105872;89256;214017;117629;96387;156230;88385;67845;83669;47056;36613;34904;19580;15324;65589;36434;29155;154337;84123;70215;64993;36780;28213;227834;125445;102388;650768;356421;294346;98764;54035;44729;32233;18236;13997;126311;71299;55011;88106;48971;39135;85053;47380;37673;62145;34477;27669
