gender,age,year,population,employed_people,unemployed_people
Male,under 15 years,1991-04,6701,x,x
Male,under 15 years,1992-05,6740,x,x
Male,under 15 years,1993-04,6765,x,x
Male,under 15 years,1994-04,6772,x,x
Male,under 15 years,1995-04,6772,x,x
Male,under 15 years,1996-04,6692,x,x
Male,under 15 years,1997-04,6601,x,x
Male,under 15 years,1998-04,6545,x,x
Male,under 15 years,1999-04,6458,x,x
Male,under 15 years,2000-05,6469,x,x
Male,under 15 years,2001-04,6392,x,x
Male,under 15 years,2002-04,6348,x,x
Male,under 15 years,2003-05,6224,x,x
Male,under 15 years,2004-03,6064,x,x
Male,under 15 years,2005,5889,x,x
Male,under 15 years,2006,5772,/,/
Male,under 15 years,2007,5675,x,x
Male,under 15 years,2008,5603,x,x
Male,under 15 years,2009,5525,x,x
Male,under 15 years,2010,5473,x,x
Male,under 15 years,2011,5533,x,x
Male,under 15 years,2012,5496,x,x
Male,under 15 years,2013,5450,x,x
Male,under 15 years,2014,5429,x,x
Male,under 15 years,2015,5410,x,x
Male,under 15 years,2016,5629,x,x
Male,under 15 years,2017,5681,x,x
Male,under 15 years,2018,5565,x,x
Male,under 15 years,2019,5742,x,x
Male,15 to under 20 years,1991-04,2215,927,60
Male,15 to under 20 years,1992-05,2173,852,56
Male,15 to under 20 years,1993-04,2203,802,64
Male,15 to under 20 years,1994-04,2231,773,66
Male,15 to under 20 years,1995-04,2258,749,67
Male,15 to under 20 years,1996-04,2318,737,72
Male,15 to under 20 years,1997-04,2363,745,81
Male,15 to under 20 years,1998-04,2377,757,81
Male,15 to under 20 years,1999-04,2428,808,76
Male,15 to under 20 years,2000-05,2393,799,71
Male,15 to under 20 years,2001-04,2357,751,72
Male,15 to under 20 years,2002-04,2365,732,72
Male,15 to under 20 years,2003-05,2399,718,93
Male,15 to under 20 years,2004-03,2410,695,99
Male,15 to under 20 years,2005,2551,728,120
Male,15 to under 20 years,2006,2516,731,119
Male,15 to under 20 years,2007,2508,765,110
Male,15 to under 20 years,2008,2425,770,92
Male,15 to under 20 years,2009,2323,717,87
Male,15 to under 20 years,2010,2210,664,78
Male,15 to under 20 years,2011,2066,615,66
Male,15 to under 20 years,2012,2051,577,57
Male,15 to under 20 years,2013,2057,582,56
Male,15 to under 20 years,2014,2069,580,57
Male,15 to under 20 years,2015,2120,573,48
Male,15 to under 20 years,2016,2194,619,54
Male,15 to under 20 years,2017,2132,607,57
