years,gender,age,persons_recorded,extrapolated_people,net_income_median,risk_of_poverty_percentage
2008,Male,16 bis unter 18 Jahre,348,968,17723,"19,0"
2008,Male,18 bis unter 25 Jahre,960,3510,18731,"18,0"
2008,Male,25 bis unter 50 Jahre,4321,13873,20103,"12,8"
2008,Male,50 bis unter 65 Jahre,2996,7518,20565,"16,0"
2008,Male,65 Jahre und mehr,3072,7578,17147,"12,0"
2008,Male,Total,13940,39952,18777,"14,2"
2008,Female,16 bis unter 18 Jahre,305,755,16541,"18,0"
2008,Female,18 bis unter 25 Jahre,969,3446,16692,"22,4"
2008,Female,25 bis unter 50 Jahre,5074,15283,19370,"14,0"
2008,Female,50 bis unter 65 Jahre,3313,8001,19275,"17,6"
2008,Female,65 Jahre und mehr,3093,8245,16029,"17,4"
2008,Female,Total,14964,41405,17909,"16,2"
2008,Total,16 bis unter 18 Jahre,653,1723,17118,"18,6"
2008,Total,18 bis unter 25 Jahre,1929,6956,17678,"20,2"
2008,Total,25 bis unter 50 Jahre,9395,29156,19767,"13,4"
2008,Total,50 bis unter 65 Jahre,6309,15519,19845,"16,8"
2008,Total,65 Jahre und mehr,6165,15823,16498,"14,9"
2008,Total,Total,28904,81358,18309,"15,2"
2009,Male,16 bis unter 18 Jahre,322,950,17294,"17,8"
2009,Male,18 bis unter 25 Jahre,914,3407,18192,"17,9"
2009,Male,25 bis unter 50 Jahre,4329,13885,20571,"13,3"
2009,Male,50 bis unter 65 Jahre,2952,7447,20798,"16,6"
2009,Male,65 Jahre und mehr,2971,7660,17470,"12,9"
2009,Male,Total,13771,39852,18927,"14,7"
2009,Female,16 bis unter 18 Jahre,293,746,16567,"16,5"
2009,Female,18 bis unter 25 Jahre,930,3470,17239,"24,4"
2009,Female,25 bis unter 50 Jahre,4926,14954,19782,"14,8"
2009,Female,50 bis unter 65 Jahre,3343,8274,19278,"16,8"
2009,Female,65 Jahre und mehr,2966,8314,16223,"17,0"
2009,Female,Total,14597,41239,18219,"16,3"
2009,Total,16 bis unter 18 Jahre,615,1697,16977,"17,2"
2009,Total,18 bis unter 25 Jahre,1844,6877,17784,"21,2"
2009,Total,25 bis unter 50 Jahre,9255,28839,20186,"14,1"
2009,Total,50 bis unter 65 Jahre,6295,15720,20087,"16,7"
2009,Total,65 Jahre und mehr,5937,15974,16804,"15,0"
2009,Total,Total,28368,81091,18586,"15,5"
2010,Male,16 bis unter 18 Jahre,289,785,17244,"16,2"
2010,Male,18 bis unter 25 Jahre,910,3445,18363,"16,0"
2010,Male,25 bis unter 50 Jahre,4219,13710,20790,"13,3"
2010,Male,50 bis unter 65 Jahre,2976,7585,21052,"17,2"
2010,Male,65 Jahre und mehr,2950,7724,17692,"12,1"
2010,Male,Total,13601,39741,19186,"14,9"
2010,Female,16 bis unter 18 Jahre,308,783,16900,"23,7"
2010,Female,18 bis unter 25 Jahre,891,3410,17714,"21,7"
2010,Female,25 bis unter 50 Jahre,4788,14674,20000,"14,8"
2010,Female,50 bis unter 65 Jahre,3453,8437,19739,"16,8"
2010,Female,65 Jahre und mehr,2903,8469,16756,"15,9"
2010,Female,Total,14377,41113,18448,"16,4"
2010,Total,16 bis unter 18 Jahre,597,1569,16980,"19,9"
