year,month,total,male,female,under_20_years,under_25_years,55_years_older,long_term_unemployed,severely_disabled,foreigners
2015,Januar,3031604,1679859,1351745,42927,245659,617221,1073899,187483,574642
2015,Februar,3017003,1683402,1333601,44245,258026,609337,1059840,185099,575898
2015,März,2931505,1626451,1305054,44276,249487,593916,1049257,182666,573753
2015,April,2842844,1551653,1291184,42073,233943,579464,1054315,181732,569299
2015,Mai,2761696,1498961,1262735,40667,222301,565843,1040953,178720,559831
2015,Juni,2711187,1463630,1247557,40528,220586,557037,1036770,177170,555181
2015,Juli,2772642,1485542,1287100,49026,258239,558056,1040927,179080,565487
2015,August,2795597,1485216,1310381,59929,279938,551787,1036337,178091,573142
2015,September,2708043,1442363,1265680,51107,248308,546949,1031022,175999,566165
2015,Oktober,2649277,1415501,1233776,45417,219808,543930,1022844,174179,562908
2015,November,2633157,1414404,1218753,43844,212359,543760,1013075,172497,564642
2015,Dezember,2681415,1459552,1221863,44048,213907,554586,1012133,172996,577951
2016,Januar,2920421,1629972,1290449,46034,235865,600772,1049226,180605,627962
2016,Februar,2911165,1635011,1276153,47689,248207,598528,1044318,179298,633334
2016,März,2844891,1591045,1253846,48110,245141,585354,1038715,177289,633478
2016,April,2743864,1517519,1226345,46698,234714,563953,1027339,173394,631220
2016,Mai,2664014,1468235,1195777,45800,226550,548667,1006676,170467,624965
2016,Juni,2614217,1435432,1178782,45671,226563,538375,993989,168684,620980
2016,Juli,2661042,1451724,1209315,55084,265117,534251,985220,168539,632886
2016,August,2684289,1455968,1228318,65026,284119,528372,975856,168403,646824
2016,September,2607607,1417658,1189943,57387,258389,522952,965258,166964,642905
2016,Oktober,2539939,1384256,1155676,50894,229819,517342,951084,164191,636862
2016,November,2531975,1385075,1146891,48261,219974,521292,943336,164161,639640
2016,Dezember,2568273,1420750,1147514,47478,219562,528524,935855,164072,649250
2017,Januar,2777387,1567694,1209687,48090,239192,568070,953407,170450,699521
2017,Februar,2762095,1566667,1195424,48587,248451,563971,941536,168964,696633
2017,März,2662111,1494839,1167268,47037,238775,545709,928860,166183,681831
2017,April,2568612,1424259,1144343,44571,225530,528203,915852,163642,668382
2017,Mai,2497718,1377315,1120402,42550,215403,519121,910007,162011,654957
2017,Juni,2472642,1358510,1114130,42628,217252,513004,903045,161103,652135
2017,Juli,2517645,1372892,1144751,52035,254402,508512,898579,161408,658531
2017,August,2544845,1378851,1165989,61444,269470,507865,895178,162266,672990
2017,September,2448910,1329562,1119337,52769,239545,498956,880070,159781,654734
2017,Oktober,2388711,1299506,1089195,47272,215175,495126,868881,158172,639765
2017,November,2368411,1292957,1075449,44129,203755,496854,861652,157049,631503
2017,Dezember,2384961,1314245,1070714,42970,201379,504166,851871,157452,630527
2018,Januar,2570311,1444716,1125593,43662,217360,540645,868845,163496,677402
2018,Februar,2545936,1437074,1108860,44193,224954,535513,856975,162013,670957
2018,März,2458110,1380501,1077607,42888,215518,520553,844596,159477,653889
2018,April,2383752,1321287,1062464,40764,204371,505400,841556,158221,640844
2018,Mai,2315487,1276420,1039064,38924,195038,495450,830763,157435,624446
2018,Juni,2275787,1250330,1025452,38978,196540,487403,818248,155734,616204
2018,Juli,2324746,1266617,1058128,48334,232646,485220,809792,156003,624885
2018,August,2350876,1274969,1075905,57141,245492,485311,807079,156845,640198
2018,September,2256473,1227624,1028845,49415,219101,476238,788689,154042,621249
2018,Oktober,2203851,1202445,1001403,44390,197689,472059,775836,152205,608845
